id_key,code,sympt,sympt::somali
!00,!00_1,Unusual clinical presentation,bandhigga caafimaad aan caadi ahayn
!00,!00_2,No response to treatment,Dawadii waxba kama tarin/jawaabin
!00,other,Other,Kale
A01,A01_1,Fever,Qandho
A01,A01_2,Headache,Madax xanuun
A01,A01_3,Malaise,Wax xun
A01,A01_4,Cough,Qufac
A01,A01_5,Bradycardia,Wadna garaac hooseeya
A01,A01_6,Splenomegaly,Splenomegaly
A01,A01_7,Rose spot on the trunk,Rose kaalinta on jirridda
A01,A01_8,Gastrointestinal symptoms,calaamadaha caloosha
A01,other,Other,kale
A03,A03_2,Bloody diarrhoea (3 or more abnormally loose or fluid stools in past 24 hours with visible blood),Shuban dhiig (3 ama in ka badan saxarada oo si aan caadi ahayn u jilicsan 24-kii saac ee la soo dhaafay dhiigna muuqda)
A03,A03_3,Fever,Qandho
A03,A03_4,Abdominal cramps,casiraad caloosha/Calool xanuun
A03,A03_5,Rectal pain,xanuun malawadka
A03,A03_6,Seizures,Suuxdimaha
A03,A03_7,Sepsis,sepsis
A03,A03_8,Rectal prolapsed,malawadka barolabsid koord
A03,other,Other,kale
A05,A05_1,Nausea,Lalabbo
A05,A05_2,Vomiting,matag
A05,A05_3,Mucoid diarrhoea (fatty stools),shuban isjiidanaya (saxaro dufan)
A05,A05_4,Other diarrhoea (non-watery and non-bloody type),shuban kale (aan shuban biyood iyo shuban dhiig ahayn)
A05,A05_5,Abdominal pain,Calool xanuun
A05,A05_6,Headache,Madax xanuun
A05,A05_7,Dizziness,Dawakh
A05,A05_8,Loss of consciousness,miyir doorsoon
A05,A05_9,Coma,kooma
A05,A05_10,Thirst,harraad
A05,A05_11,Dehydration,fuuqbax
A05,A05_12,Dyspnoea,dyspnoea/ Naqas
A05,A05_13,Weakness,Tabar
A05,A05_14,Malaise,Wax xun
A05,A05_15,Sore throat,Cune xanuun
A05,A05_16,Fever,Qandho
A05,A05_17,Chills,qarqaryo
A05,A05_18,Gastroenteritis,caloosha
A05,A05_19,Blurred vision,aragga oo isku darsamay
A05,A05_20,Twitching/convulsions,Dubaahin / gariir
A05,A05_21,Tingling/numbness,Jidhidhico / kabuubyo
A05,A05_22,Dilated pupils,Bu'da madow ee isha oo weynaada
A05,A05_23,Constricted pupils,Bu'da madow ee isha oo yaraata
A05,A05_24,Difficulty swallowing/speaking/breathing,Dhibaato wax liqidda / hadlidda / neefsashada
A05,A05_25,Rash,finan
A05,A05_26,Itching of skin,Cuncun maqaarka
A05,other,Other,kale
"A15, A16, A17, A18, A19",A15-19_1,Cough of long duration (>2 weeks),Qufac ee muddo dheer (> 2 toddobaad)
"A15, A16, A17, A18, A19",A15-19_2,Coughing blood,Qufac dhiig
"A15, A16, A17, A18, A19",A15-19_3,Chest pain,Laab xanuun
"A15, A16, A17, A18, A19",A15-19_4,Shortness of breath,Neefta oo kugu adkaata
"A15, A16, A17, A18, A19",A15-19_5,Fever/night sweats,Qandho / dhidid habeenkii ah
"A15, A16, A17, A18, A19",A15-19_6,Tiredness,daal
"A15, A16, A17, A18, A19",A15-19_7,Loss of appetite,Rabitaanka cuntada oo luma
"A15, A16, A17, A18, A19",A15-19_8,Weight loss,Miisaanka oo luma
"A15, A16, A17, A18, A19",other,Other,kale
A20,A20_1,High fever,qandho Sare
A20,A20_2,Painful inflammation and suppuration in the lymph nodes in the area of the bite,caabuq daran oo suppuration in qanjidhada ee aagga of qaniinyada
A20,A20_3,Headache,Madax
A20,A20_4,Vomiting,matag
A20,A20_5,Delirium,delirium
A20,A20_6,Shortness of breath,Neefta oo kugu adkaata
A20,A20_7,Cough,Qufac
A20,A20_8,Bloody sputum,xaako dhiig
A20,other,Other,kale
A30,A30_1,Cutaneous lesions,Maqaarka oo wax ka soo baxo
A30,A30_2,Nodules,qanjira
A30,A30_3,Nerve issues,arrimaha Dareemayaasha
A30,other,Other,kale
A33,A33_1,"Painful muscle contractions ,",Isku taga murqaha oo xanuuna
A33,A33_2,Inability to breastfeed ( newborn ),Awoodid la'aan in la naas nuujiyo (ilmaha dhasha)
A33,other,Other,kale
"A39, G00, G01, G02, G03, A87",A39_12,Sudden high fever,Xummad aad u daran oo deg deg ah
"A39, G00, G01, G02, G03, A87",A39_13,Stiff neck,Qoorta adag
"A39, G00, G01, G02, G03, A87",A39_14,Severe headache with nausea or vomiting,Madax xanuun daran oo leh lallabo iyo matag
"A39, G00, G01, G02, G03, A87",A39_15,Confusion or difficulty concentrating,Jahwareerka ama ku adag tahay in mahad uu siiyo
"A39, G00, G01, G02, G03, A87",A39_16,Seizures,Suuxdinta
"A39, G00, G01, G02, G03, A87",A39_17,Sleepiness or difficulty walking,Hurdo weynaansho ama ku adag inuu socdo
"A39, G00, G01, G02, G03, A87",A39_18,Sensitivity to light,Iftiinka oo dhiba
"A39, G00, G01, G02, G03, A87",other,Other,kale
A64,A64_1,Fever,Qandho
A64,A64_2,Lymphadenopathy,Lymphadenopathy
A64,A64_3,Genital discharge,dheecaan ka yimaada xubinta taranka
A64,other,Other,kale
A80,A80_1,Asymptomatic,astaamo
A80,A80_1,Rapid onset (weeks),Ka muuqashada deg dega ah (todobaad)
A80,A80_2,Loss of muscle tone (floppy),Murqaha oo lumiya dhaqdhaqaaqa
A80,A80_3,Muscle weakness (paralysis),tabardari Murqaha (qallal)
A80,A80_4,One or more limbs involved,Mid ka mid ah ama ka badan addimada ku lug leh
A80,other,Other,kale
A82,A82_1,"Spasms in response to tactile, auditory, visual or olfactory stimuli","Dubaaxin jawaab u taabashada, maqalka, muuqaalka ama ku meersan urin"
A82,A82_2,Paralysis or Guillan-Barre-like syndrome,Qallal ama Guillan-Barre-sida syndrome
A82,A82_3,Myoedema at percussion sites,Myoedema/Barar goobaha durbaanka
A82,A82_4,Encephalitis,encephalitis
A82,other,Other,kale
A94,A94_1,Headache,Madax xanuun
A94,A94_2,Retro-orbital pain,xanuun indhaha gadaashooda ah
A94,A94_3,Myalgia,Myalgia/ Murqo xanuun
A94,A94_4,Arthralgia,Arthralgia/Xanuun kalagoysyada
A94,A94_5,Cutaneous eruption,qarax/Dillaac nabarka maqaarka/jirka
A94,A94_6,Haemorrhagic manifestations (leukopenia or thrombocytopenia),Cadeemaha xanuunada dhiiga (leukopenia ama Torombositobiiniya)
A94,other,Other,kale
"A98, A99",A98-99_1,Acute onset of fever,bilawga Ba'an qandho
"A98, A99",A98-99_2,Haemorrhagic or purpuric rash,Haemorrhagic ama finan purpuric
"A98, A99",A98-99_3,Bleeding from the nose,Dhiigbax sanka
"A98, A99",A98-99_4,Vomiting blood,dhiig matag
"A98, A99",A98-99_5,Coughing up blood,Dhiig quficid
"A98, A99",A98-99_6,Blood in stools,Dhiig oo saxarada
"A98, A99",other,Other,kale
B05,B05_1,High fever,qandho Sare
B05,B05_2,Red maculopapular (blotchy) rash 3 to 7 daysa after onset starting behind the ears and hairline,maculopapular Red (gudguduudan) finan 3 ilaa 7 daysa kadib bilowga laga bilaabo kuwa dhegaha iyo qoordiidka ka dambeeya
B05,B05_3,Runny nose,sanka oo dareera
B05,B05_4,Cough,Qufac
B05,B05_5,Painful red eyes / Conjunctivitis,Indho xanuun caseysan / Daaf
B05,B05_6,Koplik spots (small white spots on buccal mucosa),dhibco Koplik (dhibco yar yar oo caddaan on xabka loogu talagalay)
B05,B05_7,Eruption 3 to 7 days after commmence and behind the ears and the hairline,Qarax 3 ilaa 7 maalmood ka dib marka uu bilowdo iyo kuwa dhegaha iyo qoordiidka ka dambeeya
B05,other,Other,kale
B05,B05_9,Diarrhea,Shuban
B05,B05_10,Ear infections,Caabuqa dhegaha
B05,B05_11,Loss of appetite,Rabitaanka cuntada oo luma
B05,B05_12,Tiredness,daal
"B15, B16, B17,B18,B19",B15-19_2,Jaundice,cagaarshow
"B15, B16, B17,B18,B19",B15-19_3,Dark/brown urine,Kaadi madow / brown
"B15, B16, B17,B18,B19",B15-19_4,Albuminuria,Albuminuria/ protienka kaadida
"B15, B16, B17,B18,B19",B15-19_5,Renal failure,Kelyaha oo shaqayn waaya
"B15, B16, B17,B18,B19",B15-19_6,Shock,Shoogga
"B15, B16, B17,B18,B19",B15-19_7,Haemorrhage,Dhiigbaxa
"B15, B16, B17,B18,B19",other,Other,kale
"B50, B51, B52, B53, B54",B50-54_1,Fever with or without chills,Qandho leh ama aan lahayn qarqaryo
"B50, B51, B52, B53, B54",B50-54_2,Headache,Madax xanuun
"B50, B51, B52, B53, B54",B50-54_3,General pain in the back and joints,xanuunka guud ee dhabarka iyo kala goysyada
"B50, B51, B52, B53, B54",B50-54_4,Nausea or vomiting,Lalabbo ama matagid
"B50, B51, B52, B53, B54",B50-54_10,Abdominal pain,Calool xanuun
"B50, B51, B52, B53, B54",B50-54_8,Diarrhea,Shuban
"B50, B51, B52, B53, B54",B50-54_9,Anemia,Anaemia
"B50, B51, B52, B53, B54",other,Other,kale
B74,B74_1,Lymphoedema,Lymphoedema (Barar)
B74,B74_2,Hydrocoele,Hydrocoele
B74,other,Other,kale
E43,E43_1,Presence of oedema in both feet,Jiritaanka bararka oo labada cagoodna/lugood
E43,E43_2,Marasmus (wasting visible and severe),Maliil (lumin la arki karo oo aad u daran)
E43,E43_3,Combination of the two forms,Isku jirka labada nooc
E43,other,Other,kale
E46,E46_1,Small relative to age,Cilin (Stunting)
E46,E46_2,"Behavioral changes (irritability, apathy, decreased responsiveness)","Isbedelka hab dhaqanka (Xanaaq, nacayb, firfircoonida hoos u dhacda"
E46,E46_3,Lack of appetite,Rabitaan la'aan cuntada
E46,other,Other,kale
J06,J06_1,Runny nose,sanka oo dareera
J06,J06_2,Cough,Qufac
J06,J06_3,Fever,Qandho
J06,other,Other,kale
"J09, J10, J11",J09-11_1,Fever,Qandho
"J09, J10, J11",J09-11_2,Cough,Qufac
"J09, J10, J11",J09-11_3,Sore throat,Cune xanuun
"J09, J10, J11",J09-11_4,Runny/stuffy nose,sanka oo dareera / cabbur
"J09, J10, J11",J09-11_5,Body ache,xanuun jirka
"J09, J10, J11",J09-11_6,Headache,Madax xanuun
"J09, J10, J11",J09-11_7,Fatigue,Daal
"J09, J10, J11",J09-11_8,Vomiting,matag
"J09, J10, J11",J09-11_9,Diarrhoea,Shuban
"J09, J10, J11",other,Other,kale
T61,T61_1,Nausea,Lalabbo
T61,T61_2,Vomiting,matag
T61,T61_3,Mucoid diarrhoea (fatty stools),shuban isjiidanaya (saxaro dufan)
T61,T61_4,Other diarrhoea (non-watery and non-bloody type),shuban kale (aan shuban biyood iyo shuban dhiig ahayn)
T61,T61_5,Abdominal pain,Calool xanuun
T61,T61_6,Headache,Madax xanuun
T61,T61_7,Dizziness,Dawakh
T61,T61_8,Loss of consciousness,miyir doorsoon
T61,T61_9,Coma,kooma
T61,T61_10,Thirst,harraad
T61,T61_11,Dehydration,fuuqbax
T61,T61_12,Dyspnoea,dyspnoea
T61,T61_13,Weakness,Tabar daro
T61,T61_14,Malaise,kar-
T61,T61_15,Sore throat,Cune xanuun
T61,T61_16,Fever,Qandho
T61,T61_17,Chills,qarqaryo
T61,T61_18,Gastroenteritis,caloosha
T61,T61_19,Blurred vision,Aragga oo isku darsamay
T61,T61_20,Twitching/convulsions,Dubaaxin / gariir
T61,T61_21,Tingling/numbness,Jidhidhico / kabuubyo
T61,T61_22,Dilated pupils,ardayda u furmo
T61,T61_23,Constricted pupils,ardayda Cidhiidhi ah
T61,T61_24,Difficulty swallowing/speaking/breathing,Dhibaato wax liqidda / hadlaya / neefsashada
T61,T61_25,Rash,finan
T61,T61_26,Itching of skin,Cuncun maqaarka
T61,other,Other,kale
J18,J18_1,Cough,Qufac
J18,J18_2,Fever,Qandho
J18,J18_1,Chills,qarqaryo
J18,J18_2,Shallow breathing,Neefsashada deg dega ah
J18,J18_1,Chest wall pain,Xanuunka saabka/feeraha
J18,other,Other,kale
A37,A37_1,Runny nose,sanka oo dareera
A37,A37_2,Fever,Qandho
A37,A37_3,"Red, watery eyes",Indho gaduudan oo biyeenaya
A37,A37_4,Cough,Qufac
A37,A37_5,Extreme fatigue,Daal aad u daran
A37,A37_6,Red or blue face,Waji casaan ama buluug ah
A37,A37_7,High-pitched ñWhopî sound when breathing in,Cod dheer ah oo qaylo dhaansi ah markii neefsasho ku jirto
A37,other,Other,kale
A36,A36_1,Sore throat,Cune xanuun
A36,A36_2,Hoarseness,Xabeeb
A36,A36_3,Swollen glands in neck,Qanjidhada qoorta oo barara
A36,A36_4,Nasal discharge,Dheecaan sanka
A36,A36_5,Fever & chills,Qandho iyo qarqaryo
A36,A36_6,Difficulty breathing / rapid breathing,Neefsashada oo adkaata / neefsashada degdeg ah
A36,A36_7,"Thick, gray membrane covering throat & tonsils",Xuub adag oo mugdi ah oo daboolaya cunaha iyo qumanka
A36,other,Other,kale
R50,R50_1,Temp. > 38.3ÁC,Heerkulka ka sarreeya 38.3 digrii
R50,other,Other,kale
A35,A35_1,Stiffness of neck muscles,Qallafsanaanta muruqyada qoorta
A35,A35_2,Spasms and stiffness jaw muscles (trismus),Gariir iyo qallafsanaanta muruqyada daanka
A35,A35_3,Difficulty swallowing,Liqidda oo dhibta
A35,A35_4,Stiffness of abdominal muscles,Qallafsanaanta muruqyada caloosha
A35,other,Other,kale
A00,A00_1,Nausea and Vomiting,Lalabbo iyo matagid
A00,A00_2,Rice stool,Saxarada bariiska
A00,A00_3,Sunken eyes,Indhaha oo gota
A00,A00_4,Dry mouth / extreme thirst,Afka oo qalala/ haraad daran
A00,A00_5,Dry and shriveled skin,Qalal iyo maqaarka oo jeexjeexma
A00,A00_6,Low blood pressure,Cadaadiska dhiiga ee hooseeya
A00,A00_7,No urine output,Ma laha wax kaadida
A00,A00_8,Irregular heartbeat,Garaaca wadnaha aan caadi ahayn
A00,other,Other,kale
A09,A09_1,Nausea and Vomiting,Lalabbo iyo matagid
A09,A09_2,Rice stool,Saxaro bariis oo kale
A09,A09_3,Sunken eyes,Indhaha oo gota
A09,A09_4,Dry mouth / extreme thirst,Afka oo qalala/ haraad daran
A09,A09_5,Dry and shriveled skin,Qalal iyo maqaarka oo jeexjeexma
A09,A09_6,Low blood pressure,Cadaadiska dhiiga ee hooseeya
A09,A09_7,No urine output,Ma laha wax kaadida
A09,A09_8,Irregular heartbeat,Garaaca wadnaha aan caadi ahayn
A09,other,Other,kale
R19,R19_1,Loose watery stools,Saxaro biyo ah oo dabacsan
R19,R19_2,Abdominal cramps and pain,casiraad caloosha/Calool xanuun
R19,R19_3,Fever,Qandho
R19,R19_4,Nausea,Lallabbo
R19,R19_5,Blood in the stool,Saxaro dhiig leh
R19,other,Other,kale
O09,O09_1,High blood pressure / Eclampsia,Cadaadiska dhiigga oo sareeya / eclampsia/Kalamasiyo
O09,O09_2,Severe bleeding,Dhiigbax daran
O09,O09_3,Severe abdominal pain,Xanuun daran ee caloosha
O09,O09_4,Preterm labor,Fool ka soo hormartay waqtigeeda
O09,O09_5,Fever,Qandho
O09,O09_6,Infection,Caabuq
O09,O09_7,Sepsis,Sepsis
O09,other,Other,kale
O75,O75_1,High blood pressure / Eclampsia,Cadaadiska dhiigga oo sareeya / eclampsia/Kalamasiyo
O75,O75_2,Severe bleeding,Dhiigbax daran
O75,O75_3,Severe abdominal pain,Xanuunka daran ee caloosha
O75,O75_4,Preterm labor,Fool ka soo hormartay waqtigeeda
O75,O75_5,Prolonged labor,Fool dheerar
O75,O75_6,Complications from delivery,Dhibaatooyinka ka imaanaya dhalmada
O75,O75_7,Fever,Qandho
O75,O75_8,Infection,Caabuq
O75,O75_9,Sepsis,Sepsis
O75,other,Other,kale
C80,C80_1,"Coughing, chest pain, breathlessness","Qufac, laab xanuun, neefsasho la'aan"
C80,C80_2,Changes in bowel habits,Isbedelka caadooyinka mindhicirka
C80,C80_3,Unexplained weight loss,Miisaan lumid aan la sharaxin/la garanayn
C80,C80_4,Bleeding,Dhiig-bax
C80,C80_5,Increasing lump in breast or elsewhere else,Kordhinta bararka naaska ama meel kale
C80,other,other,kale
R69,R69_1,Unusual clinical presentation,Soo bandhigid caafimaad oo aan caadi ahayn
R69,R69_2,Change in treatment response,Isbedelka jawaab celinta daaweynta
R69,other,other,kale